Don Rec Reg      Phi    Obs(N) LowLim(N) Expect(N)  UpLim(N)  Prob(UE)  Obs#(CT)  Exp#(CT)  Prob(TS)
 CU  AR  8  0.999272    162.25   1292.24   1373.61   1465.90     0.212      1286   1632.62     0.028
 CU  AR  9  0.996291    121.96    263.11    269.61    276.45     0.543       271    593.18     0.007
 CU  AR  10 0.994423     87.97    177.66    179.31    180.99     0.670       160    484.92     0.004
 CU  AR  11 0.997074    156.93    339.12    341.76    344.45     0.519       530   1102.85     0.011
 CU  AR  12 0.997232    200.13    356.74    361.27    365.92     0.540       144    313.24     0.012
 CU  AR  13 0.997283    218.10    347.10    368.05    391.70     0.497        40     79.48     0.007
 CU  AR  14 0.999788   1130.18   4441.94   4716.68   5027.63     0.082       782    851.55     0.081
 PP  AR  1  0.999893   9640.45   9300.01   9346.64   9393.74     0.817       139    759.42     0.161
 PP  AR  2  0.999743   1101.91   3412.78   3890.82   4524.60     0.608       152    387.98     0.082
 PP  AR  3  0.998955    211.33    947.22    956.95    966.88     0.181      1474   1800.07     0.016
 PP  AR  4  0.998866    283.43    868.93    881.85    895.17     0.168       404    485.58     0.014
 PP  AR  5  0.999558    220.85   1999.91   2262.30   2603.94     0.093       192    211.73     0.022
 PP  AR  6  0.997245    273.36    343.63    362.98    384.63     0.268        39     53.26     0.003
 PP  AR  7  0.996763    215.53    305.06    308.93    312.89     0.303       391    561.31     0.005
 PP  AR  8  0.999806    242.48   4811.36   5154.29   5549.86     0.038      1143   1187.83     0.074
 PP  AR  9  0.997979    227.16    483.83    494.80    506.28     0.300       171    244.12     0.005
 PP  AR  10 0.998788    230.35    767.03    825.08    892.64     0.171       301    363.31     0.015
 PP  AR  11 0.999884   1764.36   7925.00   8621.39   9451.95     0.026       477    489.73     0.113
 PP  AR  12 0.999904   9667.75   8334.43  10414.16  13876.94     0.400        44     73.33     0.077
 PP  AR  13 0.999716   2790.00   2365.99   3520.93   6878.73     0.695        26     85.31     0.066
 PP  AR  14 0.999911   9019.80  11169.92  11237.25  11305.40     0.263       254    344.59     0.075
 ST  AR  1  0.999905   9994.88   8692.86  10525.23  13336.42     0.689       158    507.23     0.131
 ST  AR  2  0.999868  10169.83   6388.89   7574.36   9300.01     0.754       115    467.19     0.209
 ST  AR  3  0.999873   3779.23   7839.82   7872.93   7906.32     0.438      1218   2168.20     0.172
 ST  AR  4  0.999733    763.84   3400.33   3744.91   4167.22     0.204       431    541.33     0.073
 ST  AR  5  0.999887    586.02   7619.08   8848.74  10551.71     0.055       160    169.29     0.074
 ST  AR  6  0.996951    189.63    309.37    327.97    348.97     0.516        54    111.64     0.006
 ST  AR  7  0.999563    322.71   1992.54   2288.22   2686.93     0.098       340    377.06     0.026
 ST  AR  8  0.999595    281.51   2361.99   2469.05   2586.28     0.111       862    969.85     0.031
 ST  AR  9  0.999030    269.27    929.43   1030.92   1157.29     0.228       166    215.11     0.011
 ST  AR  10 0.999494    362.11   1808.08   1976.35   2179.14     0.218       291    372.15     0.039
 ST  AR  11 0.999830   1225.50   5457.78   5882.61   6379.17     0.121       518    589.28     0.101
 ST  AR  12 0.999769   2313.13   3724.96   4328.49   5165.40     0.306       101    145.63     0.069
 ST  AR  13 0.999648   2139.35   2136.68   2840.71   4236.67     0.510        60    122.56     0.083
 ST  AR  14 0.999867   6339.46   6881.55   7520.04   8289.14     0.160       411    489.22     0.078
 TL  AR  1  0.999933  18738.83  13015.68  14926.35  17494.49     0.739       167    639.64     0.225
 TL  AR  2  0.999876   8545.70   6745.97   8065.97  10028.22     0.649       131    373.59     0.171
 TL  AR  3  0.999851   3454.05   6694.82   6710.89   6727.03     0.462      1369   2544.76     0.165
 TL  AR  4  0.998140    282.54    524.27    537.63    551.68     0.198       218    271.88     0.005
 TL  AR  5  0.999534    291.72   1839.81   2145.97   2574.38     0.075        99    107.08     0.011
 TL  AR  6  0.997650    329.04    388.34    425.54    470.61     0.242        27     35.61     0.002
 TL  AR  7  0.998206    371.16    541.90    557.42    573.85     0.215       276    351.53     0.006
 TL  AR  8  0.999827    304.22   5415.50   5781.26   6200.01     0.028       809    832.02     0.060
 TL  AR  9  0.996743    213.79    297.69    307.03    316.98     0.378       144    231.52     0.003
 TL  AR  10 0.996924    227.54    314.69    325.10    336.22     0.362        59     92.46     0.002
 TL  AR  11 0.998147    323.63    531.56    539.67    548.02     0.278       339    469.54     0.007
 TL  AR  12 0.998203    379.76    486.28    556.48    650.36     0.284        97    135.54     0.008
 TL  AR  13 0.998902    741.03    790.04    910.77   1075.05     0.199        29     36.21     0.008
 TL  AR  14 0.999915   3270.77  10817.03  11765.23  12895.63     0.024       506    518.41     0.123
 AR  CH  1  0.999935  17920.31  12300.01  15377.83  20510.04     0.663        75    222.53     0.081
 AR  CH  2  0.999891   8488.54   7646.86   9172.89  11459.85     0.612        68    175.31     0.091
 AR  CH  3  0.999906   4873.09  10578.32  10638.69  10699.75     0.311       983   1425.69     0.147
 AR  CH  4  0.999416    541.38   1401.14   1712.31   2201.16     0.070       354    380.64     0.022
 AR  CH  5  0.999722   1002.98   3347.41   3597.17   3887.21     0.052       470    495.89     0.085
 AR  CH  6  0.998975    861.12    898.72    975.59   1066.85     0.116        33     37.33     0.006
 AR  CH  7  0.998971    243.86    945.78    971.80    999.30     0.129       432    495.87     0.014
 AR  CH  8  0.999620    349.46   2502.57   2631.72   2774.93     0.085      1169   1278.04     0.042
 AR  CH  9  0.998803    410.61    791.90    835.44    884.03     0.171       294    354.49     0.014
 AR  CH  10 0.996216    163.92    252.05    264.27    277.73     0.402       197    329.43     0.004
